file,span_count,rule_matches_sum,rule_matches_per_span
T1218.007+T1218+T1218.004.json,37,20,0.5405405405405406
T1218.007+T1218.json,4,1,0.25
T1218.008+T1220.json,15,9,0.6
T1218.009.json,21,14,0.6666666666666666
T1218.011+T1218+T1047.json,55,35,0.6363636363636364
T1219+T1218.005.json,23,20,0.8695652173913043
T1219.json,42,18,0.42857142857142855
T1220.json,15,3,0.2
T1221.json,13,7,0.5384615384615384
T1222.002+T1216+T1219+T1505.002+T1222+T1222.001+T1518.001+T1482+T1486+T1491.001+T1134.004+T1134.005+T1137.002+T1134.002+T1518+T1201+T1491.json,753,322,0.42762284196547146
T1484.002.json,33,30,0.9090909090909091
T1485.json,18,24,1.3333333333333333
T1489.json,12,24,2.0
T1490.json,12,24,2.0
T1491.001+T1491.json,24,17,0.7083333333333334
T1496.json,10,3,0.3
T1497.001.json,8,6,0.75
T1497.003.json,16,2,0.125
T1505.003.json,5,7,1.4
T1505.004.json,5,3,0.6
T1505.005+T1134.004.json,215,164,0.7627906976744186
T1518.001.json,40,24,0.6
T1518.json,24,30,1.25
T1526.json,32,15,0.46875
T1528.json,14,10,0.7142857142857143
T1530.json,14,11,0.7857142857142857
T1531.json,48,27,0.5625
T1539.json,5,6,1.2
T1543.003+T1031+T1050.json,16,9,0.5625
T1543.003-01.json,6,3,0.5
T1543.003-02.json,3,3,1.0
T1543.003.json,3,2,0.6666666666666666
T1546.003.json,6,2,0.3333333333333333
T1546.004.json,11,5,0.45454545454545453
T1546.005.json,11,5,0.45454545454545453
T1546.007+T1546.011+T1138.json,86,12,0.13953488372093023
T1546.007.json,13,5,0.38461538461538464
T1546.008+T1183.json,59,21,0.3559322033898305
T1546.009+T1546.015+T1546.014.json,66,10,0.15151515151515152
T1546.010+T1546.015+T1060.json,52,7,0.1346153846153846
T1546.011+T1546+T1546.015.json,13,2,0.15384615384615385
T1546.012+T1183.json,33,7,0.21212121212121213
T1546.012.json,52,3,0.057692307692307696
T1546.013+T1546.014.json,67,11,0.16417910447761194
T1546.014.json,7,1,0.14285714285714285
T1546.015+T1122+T1042.json,30,2,0.06666666666666667
T1546.015-01.json,45,7,0.15555555555555556
T1546.015-02.json,6,2,0.3333333333333333
T1546.015-03.json,9,5,0.5555555555555556
T1546.015-04.json,2,2,1.0
T1546.015.json,8,1,0.125
T1547+T1547.009.json,5,2,0.4
T1547-01.json,3,1,0.3333333333333333
T1547.001+T1042+T1060.json,35,11,0.3142857142857143
T1547.001+T1060+T1546.015.json,21,6,0.2857142857142857
T1547.001+T1547.003.json,8,6,0.75
T1547.002-01.json,1,2,2.0
T1547.002.json,5,1,0.2
T1547.003+T1546.014.json,15,6,0.4
T1547.003+T1546.015.json,18,6,0.3333333333333333
T1547.003.json,9,8,0.8888888888888888
T1547.004-01.json,2,4,2.0
T1547.004.json,5,4,0.8
T1547.006-01.json,3,1,0.3333333333333333
T1547.006-02.json,16,6,0.375
T1547.006-03.json,8,2,0.25
T1547.006.json,11,2,0.18181818181818182
T1547.007.json,11,5,0.45454545454545453
T1547.008-01.json,15,6,0.4
T1547.008-02.json,9,1,0.1111111111111111
T1547.008-03.json,3,1,0.3333333333333333
T1547.008.json,4,4,1.0
T1547.009+T1023-01.json,5,1,0.2
T1547.009+T1023.json,6,2,0.3333333333333333
T1547.009+T1547+T1547.010.json,19,7,0.3684210526315789
T1547.009-01.json,6,6,1.0
T1547.009.json,2,1,0.5
T1547.010+T1101+T1547.005+T1042.json,28,12,0.42857142857142855
T1547.010-01.json,7,1,0.14285714285714285
T1547.010-02.json,3,6,2.0
T1547.010.json,9,5,0.5555555555555556
T1547.012-01.json,17,10,0.5882352941176471
T1547.012-02.json,11,5,0.45454545454545453
T1547.012-03.json,3,1,0.3333333333333333
T1547.012-04.json,20,10,0.5
T1547.012-05.json,3,1,0.3333333333333333
T1547.012-06.json,4,1,0.25
T1547.012.json,3,1,0.3333333333333333
T1547.014+T1552.005+T1547.006+T1548.002+T1552.004.json,60,32,0.5333333333333333
T1547.015+T1553.004.json,19,11,0.5789473684210527
T1547.015-01.json,4,8,2.0
T1547.015.json,6,3,0.5
T1547.json,6,1,0.16666666666666666
T1548.001+T1548.002.json,5,1,0.2
T1548.001.json,11,5,0.45454545454545453
T1548.002+T1088.json,7,2,0.2857142857142857
T1548.002+T1547.015+T1550.003+T1042.json,141,74,0.524822695035461
T1548.002.json,3,1,0.3333333333333333
T1548.003.json,3,6,2.0
T1550.002.json,19,9,0.47368421052631576
T1550.003+T1548.002.json,16,9,0.5625
T1550.003+T1553.006.json,17,5,0.29411764705882354
T1550.003-01.json,5,3,0.6
T1550.003-02.json,3,1,0.3333333333333333
T1550.003.json,4,2,0.5
T1552-01.json,7,6,0.8571428571428571
T1552-02.json,14,6,0.42857142857142855
T1552.001+T1553.001+T1547.012+T1042.json,15,6,0.4
T1552.002-01.json,4,4,1.0
T1552.002-02.json,5,2,0.4
T1552.002-03.json,4,4,1.0
T1552.002-04.json,4,4,1.0
T1552.002-05.json,21,13,0.6190476190476191
T1552.002.json,5,10,2.0
T1552.003+T1552.001.json,17,7,0.4117647058823529
T1552.003.json,3,1,0.3333333333333333
T1552.004+T1553.004.json,53,24,0.4528301886792453
T1552.005+T1552.json,7,3,0.42857142857142855
T1552.005.json,3,1,0.3333333333333333
T1552.006+T1553.001+T1550.002.json,30,10,0.3333333333333333
T1552.007-01.json,5,5,1.0
T1552.007.json,11,5,0.45454545454545453
T1552.json,12,4,0.3333333333333333
T1553.001+T1548.003.json,13,9,0.6923076923076923
T1553.001.json,5,5,1.0
T1553.003-01.json,15,5,0.3333333333333333
T1553.003-02.json,3,4,1.3333333333333333
T1553.003-03.json,6,4,0.6666666666666666
T1553.003-04.json,2,4,2.0
T1553.003.json,4,4,1.0
T1553.004+T1552+T1552.005.json,33,12,0.36363636363636365
T1553.005+T1548.002.json,30,13,0.43333333333333335
T1553.005-01.json,4,1,0.25
T1553.005.json,4,1,0.25
T1553.006+T1548.002.json,15,10,0.6666666666666666
T1553.006.json,5,5,1.0
T1555+T1204.002.json,58,23,0.39655172413793105
T1555.001.json,11,5,0.45454545454545453
T1555.003+T1555+T1555.004.json,152,49,0.3223684210526316
T1555.004.json,15,6,0.4
T1555.006.json,30,8,0.26666666666666666
T1556.002+T1101.json,23,8,0.34782608695652173
T1556.003.json,9,5,0.5555555555555556
T1557.001.json,17,10,0.5882352941176471
T1558.001.json,42,34,0.8095238095238095
T1558.002-01.json,2,2,1.0
T1558.002.json,25,17,0.68
T1558.003.json,52,20,0.38461538461538464
T1558.004.json,28,18,0.6428571428571429
T1559.002.json,17,8,0.47058823529411764
T1560.001.json,39,18,0.46153846153846156
T1560.002.json,11,3,0.2727272727272727
T1562+T1101.json,18,8,0.4444444444444444
T1562.003.json,22,11,0.5
T1562.004+T1089.json,83,47,0.5662650602409639
T1562.006.json,68,46,0.6764705882352942
T1562.008.json,53,23,0.4339622641509434
T1562.009.json,17,9,0.5294117647058824
T1562.010.json,27,17,0.6296296296296297
T1562.012.json,13,7,0.5384615384615384
T1563.002.json,25,16,0.64
T1564+T1204.002.json,46,34,0.7391304347826086
T1564.002.json,21,9,0.42857142857142855
T1564.004+T1564.json,50,32,0.64
T1564.006.json,28,15,0.5357142857142857
T1564.008.json,66,17,0.25757575757575757
T1566.002.json,25,13,0.52
T1567.002.json,24,13,0.5416666666666666
T1567.003.json,19,11,0.5789473684210527
T1569.001.json,13,7,0.5384615384615384
T1569.002+T1651+T1564.003+T1614+T1559+T1031+T1050+T1574.001+T1560.001+T1562.001+T1572+T1122+T1567.002+T1592.001+T1620+T1595.003+T1619.json,174,117,0.6724137931034483
T1569.002.json,58,36,0.6206896551724138
T1570.json,25,14,0.56
T1571+T1559+T1562.001+T1042+T1569.002+T1560.002+T1647.json,64,29,0.453125
T1571.json,19,10,0.5263157894736842
T1572.json,35,21,0.6
T1573.json,18,10,0.5555555555555556
T1574.006.json,13,7,0.5384615384615384
T1574.008.json,30,14,0.4666666666666667
T1574.009+T1574.001+T1023+T1580+T1620+T1592.001+T1560.001+T1122+T1574.002+T1648+T1619+T1613+T1060+T1574.011+T1615+T1649+T1562.001+T1574.012+T1652+T1647+T1559.json,253,115,0.45454545454545453
T1574.011+T1031+T1050.json,21,11,0.5238095238095238
T1574.012+T1574+T1122.json,34,20,0.5882352941176471
T1578.001.json,13,7,0.5384615384615384
T1580.json,13,7,0.5384615384615384
T1595.003.json,14,10,0.7142857142857143
T1606.002.json,25,13,0.52
T1609.json,13,7,0.5384615384615384
T1610.json,13,7,0.5384615384615384
T1611.json,13,7,0.5384615384615384
T1612.json,13,7,0.5384615384615384
T1613.json,11,7,0.6363636363636364
T1614.001.json,38,14,0.3684210526315789
T1614.json,16,10,0.625
T1615.json,40,35,0.875
T1619+T1560.json,258,47,0.1821705426356589
T1620.json,16,14,0.875
T1622.json,18,10,0.5555555555555556
T1647.json,9,3,0.3333333333333333
T1649.json,16,11,0.6875
T1651.json,16,6,0.375
T1652.json,11,7,0.6363636363636364
T1654.json,25,14,0.56
ade31fe3973cccc2fb0c8b8dfa821760.json,10,3,0.3
e51041615ba5f0bb07a94c8bbfd46753.json,6,1,0.16666666666666666
trace-000e0007cfa8a5250e7bf2fb974f588e.json,7,1,0.14285714285714285
trace-000ee45b686d3586c03a947590b731b4.json,2,1,0.5
trace-00d4a2869eddc06e068d1eabf5e443c6.json,2,1,0.5
trace-00e04bdbf564c086ea57bb7b9096c2c6.json,3,1,0.3333333333333333
trace-0154eed43b691426d642bece8d083541.json,2,2,1.0
trace-018c2a71fe72ee6b0f55d461c3d6bcde.json,5,2,0.4
trace-01ad45cabf5ace7b7917db4dfe3ed4a5.json,3,1,0.3333333333333333
trace-01dea7ebd8e835ae53a0718e686fd681.json,2,1,0.5
trace-024434893b7ec538495f4837b86a6484.json,16,1,0.0625
trace-024b748a4c3c284b85e2feab73282b78.json,5,1,0.2
trace-029523c9a1647753e5bc2cefe005dd9d.json,2,2,1.0
trace-029ccf4b86dcc7799a68b79ebf1409b9.json,15,1,0.06666666666666667
trace-02d76009d6d3109fc40548617d7649d8.json,24,5,0.20833333333333334
trace-02f9397ec5a5aea107b763d3cf68f17c.json,2,1,0.5
trace-034eb4b1460a52a05c9c5de4041fd080.json,5,4,0.8
trace-03b99acb0bdbb0052c7ce1c6873b9688.json,3,1,0.3333333333333333
trace-045ed1e604923bb6ac58852acb241a6a.json,217,122,0.5622119815668203
trace-045f80fc9539b6f9d89d35aa311a9806.json,5,1,0.2
trace-04ab1e25240beff6690b353dbd94badd.json,219,202,0.9223744292237442
trace-04d33f4bb14bcfd5dac6ad42368dc7ed.json,14,1,0.07142857142857142
trace-0507c3e231be7387c01ae5157e950f34.json,2,2,1.0
trace-05216d8ec0e00f454da67bf785ddbc05.json,5,2,0.4
trace-056fe3ab2c78f168a450dffcefbb219a.json,2,2,1.0
trace-05825a813de75fc2da8d6efe00877fea.json,2,1,0.5
trace-0584e724491f2689d1d89b8c7df397b5.json,5,3,0.6
trace-05db856ab90075fcf54ec6d46747c12b.json,3,1,0.3333333333333333
trace-05fc4d7f59d7b6f8535522ef63b9dcba.json,3,1,0.3333333333333333
trace-066136d7a1af1365d974953c581f4d83.json,3,2,0.6666666666666666
